Geography,No income,R 1 - R 400,R 401 - R 800,R 801 - R 1 600,R 1 601 - R 3 200,R 3 201 - R 6 400,R 6 401 - R 12 800,R 12 801 - R 25 600,R 25 601 - R 51 200,R 51 201 - R 102 400,R 102 401 - R 204 800,R 204 801 or more,Unspecified,Not applicable
83106006: Ward 6,48.0788786,24.7591807,2.2354137,10.7848248,3.5865564,3.1749733,3.2248875,1.3047991,0.130622,0.0118777,0,0.0357193,2.0521498,0.6201171
83106007: Ward 7,46.0724071,28.4336486,2.1877198,14.5651669,2.9199813,1.5429393,0.9169803,0.3802795,0.0926464,0.0155072,0.0155072,0.0151104,2.842106,0
83106008: Ward 8,47.5823632,24.133685,1.769657,17.6323497,3.4447398,1.8378158,0.9188809,0.4915577,0.1074549,0.0473184,0.0164195,0,2.017758,0
83106009: Ward 9,44.3928873,23.6761137,3.3376003,16.9338361,4.8788157,2.4939078,1.446849,0.442131,0.1054063,0.0206441,0.0428931,0,2.2289157,0
83106010: Ward 10,47.0151596,24.5398509,2.657502,16.3857224,3.2733762,2.0235787,0.9729471,0.3212946,0.0723873,0,0,0,2.7253767,0.0128043
83106011: Ward 11,46.4002221,24.7220494,2.502832,16.4112485,4.1141674,2.0260599,1.1016825,0.2701119,0.1204972,0,0,0.0265282,2.3046009,0
83106012: Ward 12,46.893753,23.2421944,3.5403248,15.1581958,4.1105381,2.9003312,1.4874548,0.3181284,0.0613938,0.0253693,0,0,2.197158,0.0651583
83106013: Ward 13,44.0651293,25.579551,2.3406629,15.8320565,5.3236246,2.3568121,1.5277457,0.3422443,0.0459263,0,0.0142143,0.0142143,2.5578189,0
83106014: Ward 14,45.6228057,27.1384753,4.2296011,14.8322495,2.7025288,1.3372137,0.7232495,0.2796767,0.0307054,0,0,0,3.1034944,0
83106015: Ward 15,46.059862,28.6973144,2.4059851,10.1665823,4.7882586,2.6046569,1.23828,0.3037206,0.0609431,0,0.0126417,0,3.6617555,0
83106016: Ward 16,47.9409521,24.3821576,3.427428,10.5565682,4.4344806,3.2228989,1.5722588,0.4286838,0.09801,0.0243666,0.0243666,0,3.8878288,0
83106017: Ward 17,46.5297905,24.8921616,1.8100159,11.7200186,4.996578,3.1621592,2.5538006,0.8294186,0.1359551,0.0221359,0.0655399,0.0216236,3.2608024,0
83106018: Ward 18,45.9003567,26.3069955,3.2367813,13.7994568,4.0826698,2.1891772,1.1589279,0.432063,0.1083294,0.044139,0.0142031,0.0894561,2.6374441,0
