Summation Options,Geography,Highest educational level,Count
Person weighted,10101008: Ward 8,N6 / NTC 6,0.1212871
Person weighted,10101008: Ward 8,Certificate with less than Grade 12 / Std 10,0.0376651
Person weighted,10101008: Ward 8,Diploma with less than Grade 12 / Std 10,0.0410063
Person weighted,10101008: Ward 8,Certificate with Grade 12 / Std 10,0.5283122
Person weighted,10101008: Ward 8,Diploma with Grade 12 / Std 10,0.7295459
Person weighted,10101008: Ward 8,Higher Diploma,0.8567914
Person weighted,10101008: Ward 8,Post Higher Diploma Masters; Doctoral Diploma,0.0744185
Person weighted,10101008: Ward 8,Bachelors Degree,0.2878878
Person weighted,10101008: Ward 8,Bachelors Degree and Post graduate Diploma,0.0916044
Person weighted,10101008: Ward 8,Honours degree,0.0788121
Person weighted,10101008: Ward 8,Higher Degree Masters / PhD,0.135928
Person weighted,10101008: Ward 8,Other,0.1200123
Person weighted,10101008: Ward 8,No schooling,5.7497426
Person weighted,10101008: Ward 8,Unspecified,0
Person weighted,10101008: Ward 8,Not applicable,12.3004617
Person weighted,10101008: Ward 8,Total,100
Person weighted,10102001: Ward 1,Gade 0,3.3400964
Person weighted,10102001: Ward 1,Grade 1 / Sub A,3.40482
Person weighted,10102001: Ward 1,Grade 2 / Sub B,2.8794179
Person weighted,10102001: Ward 1,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.2974239
Person weighted,10102001: Ward 1,Grade 4 / Std 2,4.2756
Person weighted,10102001: Ward 1,Grade 5 / Std 3/ABET 2,5.2737889
Person weighted,10102001: Ward 1,Grade 6 / Std 4,7.4755812
Person weighted,10102001: Ward 1,Grade 7 / Std 5/ ABET 3,8.179307
Person weighted,10102001: Ward 1,Grade 8 / Std 6 / Form 1,9.3811573
Person weighted,10102001: Ward 1,Grade 9 / Std 7 / Form 2/ ABET 4,10.5417106
Person weighted,10102001: Ward 1,Grade 10 / Std 8 / Form 3,8.0742441
Person weighted,10102001: Ward 1,Grade 11 / Std 9 / Form 4,4.517095
Person weighted,10102001: Ward 1,Grade 12 / Std 10 / Form 5,9.4135512
Person weighted,10102001: Ward 1,NTC I / N1/ NIC/ V Level 2,0.0923197
Person weighted,10102001: Ward 1,NTC II / N2/ NIC/ V Level 3,0.0649852
Person weighted,10102001: Ward 1,NTC III /N3/ NIC/ V Level 4,0
Person weighted,10102001: Ward 1,N4 / NTC 4,0.0553918
Person weighted,10102001: Ward 1,N5 /NTC 5,0
Person weighted,10102001: Ward 1,N6 / NTC 6,0.0738558
Person weighted,10102001: Ward 1,Certificate with less than Grade 12 / Std 10,0
